Alert ID,Timestamp,Source IP,Target URL,Alert Type,Rule Triggered,HTTP Parameters,User-Agent,Status Code,Source IP Geolocation,Attack Type Subset,Number of Source IPs,Number of Browsers,Incident Duration,Label,Reason
ALERT_0,2023-01-01 00:00:00,9.227.53.13,https://payne-gomez.com/,SQLi,Rule_2,Hope woman book major.,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; is-IS) AppleWebKit/532.4.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.4.5",500,Eritrea,Stored XSS,3,3,29,FP,
ALERT_1,2023-01-01 00:01:00,43.25.160.78,http://www.rice.com/,LFI,Rule_1,Use law heavy point sing benefit gun nice.,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/46.0.855.0 Safari/531.0",500,Angola,Stored XSS,5,2,16,TP,
ALERT_2,2023-01-01 00:02:00,177.185.97.115,http://www.carter.com/,RCE,Rule_2,Pattern enjoy include though it her.,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/27.0.835.0 Mobile/39L157 Safari/536.1",403,Bulgaria,Blind SQLi,1,1,5,FP,
ALERT_3,2023-01-01 00:03:00,202.18.192.19,https://stephens.com/,XSS,Rule_1,Toward particularly go history threat.,Mozilla/5.0 (Android 3.2; Mobile; rv:31.0) Gecko/31.0 Firefox/31.0,200,Argentina,Blind SQLi,1,3,52,TP,Cost writer culture player weight purpose.
ALERT_4,2023-01-01 00:04:00,193.230.204.70,http://www.crawford.info/,RCE,Rule_3,Daughter TV loss travel all add.,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; it-CH) AppleWebKit/534.5.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6534.5.2",404,Colombia,Blind SQLi,8,2,29,TP,Turn difference act he third marriage.
ALERT_5,2023-01-01 00:05:00,210.219.196.216,https://bullock.com/,LFI,Rule_3,Short end computer measure whose year week.,Mozilla/5.0 (Android 6.0; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0,403,Tajikistan,Blind SQLi,5,1,34,FP,That top risk last of idea.
ALERT_6,2023-01-01 00:06:00,29.116.13.39,http://www.boyd-elliott.com/,LFI,Rule_1,Sense ever investment decade these light.,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/533.39.4 (KHTML, like Gecko) Version/5.0.2 Safari/533.39.4",404,Iraq,Stored XSS,9,3,52,FP,Best never central specific hour.
ALERT_7,2023-01-01 00:07:00,93.229.216.158,http://www.hamilton.org/,XSS,Rule_2,During next leave way. Dinner lot book worker.,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.0),403,Afghanistan,Stored XSS,9,2,34,TP,Material film great choice check.
ALERT_8,2023-01-01 00:08:00,49.233.96.35,https://www.hill.com/,RCE,Rule_2,Truth drug among would action area.,Mozilla/5.0 (Windows NT 11.0; ayc-PE; rv:1.9.0.20) Gecko/3731-01-02 19:02:41 Firefox/3.6.12,404,Cayman Islands,Stored XSS,6,2,48,FP,Include drop crime establish.
ALERT_9,2023-01-01 00:09:00,50.144.3.101,http://www.avila.com/,XSS,Rule_3,Give federal case region.,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/531.25.4 (KHTML, like Gecko) Version/4.0 Safari/531.25.4",404,Peru,Blind SQLi,3,2,47,FP,
ALERT_10,2023-01-01 00:10:00,189.201.210.134,http://miller.org/,RCE,Rule_1,Study region race leader thank tell boy.,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/3.1),500,French Polynesia,Stored XSS,9,3,52,FP,
ALERT_11,2023-01-01 00:11:00,117.150.243.32,https://hernandez.com/,RCE,Rule_1,Quickly process beautiful candidate trial us.,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/5763-12-09 01:07:13 Firefox/3.8,200,Morocco,Stored XSS,6,3,52,TP,
ALERT_12,2023-01-01 00:12:00,208.178.82.24,https://taylor.com/,RCE,Rule_1,Leg bring across always start.,"Mozilla/5.0 (iPad; CPU iPad OS 16_7_7 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/11.7d2054.0 Mobile/25B107 Safari/532.0",403,Falkland Islands (Malvinas),Stored XSS,3,1,29,FP,Special music usually politics apply compare.
ALERT_13,2023-01-01 00:13:00,179.189.20.186,https://www.strickland.org/,LFI,Rule_1,History student power perhaps.,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_5 rv:6.0; sv-FI) AppleWebKit/534.19.1 (KHTML, like Gecko) Version/4.0 Safari/534.19.1",404,Aruba,Blind SQLi,9,1,42,TP,Sign put research candidate support yard later.
ALERT_14,2023-01-01 00:14:00,13.199.96.95,https://www.johnson-gray.com/,SQLi,Rule_2,Why serious perhaps.,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.1),403,Congo,Blind SQLi,4,4,43,FP,Of rule far continue.
ALERT_15,2023-01-01 00:15:00,195.84.162.210,https://www.montgomery.com/,SQLi,Rule_3,Sort before scientist oil seek reveal.,Opera/9.73.(X11; Linux x86_64; doi-IN) Presto/2.9.186 Version/11.00,403,Tonga,Blind SQLi,6,1,8,FP,This college technology.
ALERT_16,2023-01-01 00:16:00,148.42.206.65,http://www.willis-hernandez.com/,RCE,Rule_1,Into interesting fear.,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_9) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/61.0.831.0 Safari/533.2",200,Romania,Stored XSS,2,4,57,FP,
ALERT_17,2023-01-01 00:17:00,49.37.39.81,http://www.robinson.org/,SQLi,Rule_3,Of low tonight more eight under show.,"Mozilla/5.0 (Windows NT 11.0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/51.0.853.0 Safari/535.2",404,Iran,Stored XSS,6,1,5,FP,
ALERT_18,2023-01-01 00:18:00,182.88.198.52,https://www.king.com/,RCE,Rule_2,Serious age would sit.,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/38.0.835.0 Safari/535.1",403,Nicaragua,Stored XSS,5,1,26,TP,
ALERT_19,2023-01-01 00:19:00,182.141.123.38,http://thompson.com/,RCE,Rule_2,Lose read bed this both will bring drive.,Opera/8.14.(X11; Linux i686; dv-MV) Presto/2.9.181 Version/10.00,404,Guatemala,Stored XSS,4,2,40,FP,
ALERT_20,2023-01-01 00:20:00,128.240.58.82,http://www.hebert-fisher.com/,RCE,Rule_1,Great agency election mission.,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/5.0),403,Nauru,Stored XSS,9,1,12,FP,
ALERT_21,2023-01-01 00:21:00,105.37.179.97,http://ballard.com/,SQLi,Rule_3,Body address technology least.,Opera/8.65.(X11; Linux i686; ayc-PE) Presto/2.9.190 Version/12.00,404,Switzerland,Stored XSS,9,4,32,TP,Eye report either away than newspaper.
ALERT_22,2023-01-01 00:22:00,114.199.81.45,http://carter.com/,LFI,Rule_2,Station deep large spend budget.,Opera/8.56.(X11; Linux i686; nl-NL) Presto/2.9.166 Version/11.00,404,Honduras,Stored XSS,5,2,41,FP,Provide power though public song all cost.
ALERT_23,2023-01-01 00:23:00,125.167.181.235,https://www.reynolds-pugh.biz/,LFI,Rule_1,Suggest no life central dream type.,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1; rv:1.9.3.20) Gecko/8248-12-18 15:22:50 Firefox/3.8,200,Czech Republic,Stored XSS,4,3,25,FP,
ALERT_24,2023-01-01 00:24:00,33.243.151.183,http://www.zuniga-espinoza.org/,XSS,Rule_2,Wall including loss store black.,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/7896-11-08 22:30:54 Firefox/3.8,200,Afghanistan,Stored XSS,2,1,14,TP,
