Alert ID,Source IP,Target URL,HTTP Parameters,User-Agent,Status Code,Source IP Geolocation,Attack Type Subset,Number of Source IPs,Number of Browsers,Incident Duration,Label,Reason,Hour,Day of Week,Alert Type_LFI,Alert Type_RCE,Alert Type_SQLi,Alert Type_XSS,Rule Triggered_Rule_1,Rule Triggered_Rule_2,Rule Triggered_Rule_3
ALERT_0,9.227.53.13,https://payne-gomez.com/,Hope woman book major.,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; is-IS) AppleWebKit/532.4.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.4.5",500,Eritrea,Stored XSS,3,3,29,FP,,0,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ALERT_1,43.25.160.78,http://www.rice.com/,Use law heavy point sing benefit gun nice.,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/46.0.855.0 Safari/531.0",500,Angola,Stored XSS,5,2,16,TP,,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_2,177.185.97.115,http://www.carter.com/,Pattern enjoy include though it her.,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/27.0.835.0 Mobile/39L157 Safari/536.1",403,Bulgaria,Blind SQLi,1,1,5,FP,,0,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ALERT_3,202.18.192.19,https://stephens.com/,Toward particularly go history threat.,Mozilla/5.0 (Android 3.2; Mobile; rv:31.0) Gecko/31.0 Firefox/31.0,200,Argentina,Blind SQLi,1,3,52,TP,Cost writer culture player weight purpose.,0,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ALERT_4,193.230.204.70,http://www.crawford.info/,Daughter TV loss travel all add.,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; it-CH) AppleWebKit/534.5.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6534.5.2",404,Colombia,Blind SQLi,8,2,29,TP,Turn difference act he third marriage.,0,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ALERT_5,210.219.196.216,https://bullock.com/,Short end computer measure whose year week.,Mozilla/5.0 (Android 6.0; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0,403,Tajikistan,Blind SQLi,5,1,34,FP,That top risk last of idea.,0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ALERT_6,29.116.13.39,http://www.boyd-elliott.com/,Sense ever investment decade these light.,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/533.39.4 (KHTML, like Gecko) Version/5.0.2 Safari/533.39.4",404,Iraq,Stored XSS,9,3,52,FP,Best never central specific hour.,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ALERT_7,93.229.216.158,http://www.hamilton.org/,During next leave way. Dinner lot book worker.,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.0),403,Afghanistan,Stored XSS,9,2,34,TP,Material film great choice check.,0,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ALERT_8,49.233.96.35,https://www.hill.com/,Truth drug among would action area.,Mozilla/5.0 (Windows NT 11.0; ayc-PE; rv:1.9.0.20) Gecko/3731-01-02 19:02:41 Firefox/3.6.12,404,Cayman Islands,Stored XSS,6,2,48,FP,Include drop crime establish.,0,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ALERT_9,50.144.3.101,http://www.avila.com/,Give federal case region.,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/531.25.4 (KHTML, like Gecko) Version/4.0 Safari/531.25.4",404,Peru,Blind SQLi,3,2,47,FP,,0,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0
